0.00;0.00;0.00;0.00;3.60;85.69
0.00;0.00;0.00;0.00;7.20;87.23
0.00;0.00;0.00;0.00;10.80;87.38
0.00;0.00;0.00;0.00;14.40;87.08
0.00;0.00;0.00;0.00;18.00;87.38
0.00;0.00;0.00;0.00;21.60;86.15
0.00;0.00;0.00;0.00;25.20;85.62
0.00;0.00;0.00;0.00;28.80;84.69
0.00;0.00;0.00;0.00;32.40;83.77
0.00;0.00;0.00;0.00;36.00;83.23
0.00;0.00;0.00;0.00;39.60;82.15
0.00;0.00;0.00;0.00;43.20;80.08
0.00;0.00;0.00;0.00;46.80;79.00
0.00;0.00;0.00;0.00;50.40;76.38
0.00;0.00;0.00;0.00;54.00;74.54
0.00;0.00;0.00;0.00;57.60;72.00
0.00;0.00;0.00;3.60;0.00;85.62
0.00;0.00;0.00;3.60;3.60;86.08
0.00;0.00;0.00;3.60;7.20;85.77
0.00;0.00;0.00;3.60;10.80;86.46
0.00;0.00;0.00;3.60;14.40;86.31
0.00;0.00;0.00;3.60;18.00;86.31
0.00;0.00;0.00;3.60;21.60;86.31
0.00;0.00;0.00;3.60;25.20;85.08
0.00;0.00;0.00;3.60;28.80;85.15
0.00;0.00;0.00;3.60;32.40;84.46
0.00;0.00;0.00;3.60;36.00;83.62
0.00;0.00;0.00;3.60;39.60;82.69
0.00;0.00;0.00;3.60;43.20;81.38
0.00;0.00;0.00;3.60;46.80;80.62
0.00;0.00;0.00;3.60;50.40;77.69
0.00;0.00;0.00;3.60;54.00;76.38
0.00;0.00;0.00;3.60;57.60;74.08
0.00;0.00;0.00;7.20;0.00;84.08
0.00;0.00;0.00;7.20;3.60;85.23
0.00;0.00;0.00;7.20;7.20;86.77
0.00;0.00;0.00;7.20;10.80;86.38
0.00;0.00;0.00;7.20;14.40;85.31
0.00;0.00;0.00;7.20;18.00;86.62
0.00;0.00;0.00;7.20;21.60;84.92
0.00;0.00;0.00;7.20;25.20;85.69
0.00;0.00;0.00;7.20;28.80;85.31
0.00;0.00;0.00;7.20;32.40;84.62
0.00;0.00;0.00;7.20;36.00;84.15
0.00;0.00;0.00;7.20;39.60;84.08
0.00;0.00;0.00;7.20;43.20;82.85
0.00;0.00;0.00;7.20;46.80;80.85
0.00;0.00;0.00;7.20;50.40;79.85
0.00;0.00;0.00;7.20;54.00;77.69
0.00;0.00;0.00;7.20;57.60;76.69
0.00;0.00;0.00;10.80;0.00;83.08
0.00;0.00;0.00;10.80;3.60;84.00
0.00;0.00;0.00;10.80;7.20;84.46
0.00;0.00;0.00;10.80;10.80;84.00
0.00;0.00;0.00;10.80;14.40;85.08
0.00;0.00;0.00;10.80;18.00;85.15
0.00;0.00;0.00;10.80;21.60;85.85
0.00;0.00;0.00;10.80;25.20;85.92
0.00;0.00;0.00;10.80;28.80;84.92
0.00;0.00;0.00;10.80;32.40;85.08
0.00;0.00;0.00;10.80;36.00;84.69
0.00;0.00;0.00;10.80;39.60;83.77
0.00;0.00;0.00;10.80;43.20;83.54
0.00;0.00;0.00;10.80;46.80;81.00
0.00;0.00;0.00;10.80;50.40;79.85
0.00;0.00;0.00;10.80;54.00;79.85
0.00;0.00;0.00;10.80;57.60;76.85
0.00;0.00;0.00;14.40;0.00;81.15
0.00;0.00;0.00;14.40;3.60;82.23
0.00;0.00;0.00;14.40;7.20;83.69
0.00;0.00;0.00;14.40;10.80;83.62
0.00;0.00;0.00;14.40;14.40;84.23
0.00;0.00;0.00;14.40;18.00;84.77
0.00;0.00;0.00;14.40;21.60;84.85
0.00;0.00;0.00;14.40;25.20;84.69
0.00;0.00;0.00;14.40;28.80;84.92
0.00;0.00;0.00;14.40;32.40;84.23
0.00;0.00;0.00;14.40;36.00;83.77
0.00;0.00;0.00;14.40;39.60;83.92
0.00;0.00;0.00;14.40;43.20;82.46
0.00;0.00;0.00;14.40;46.80;82.38
0.00;0.00;0.00;14.40;50.40;81.38
0.00;0.00;0.00;14.40;54.00;80.15
0.00;0.00;0.00;14.40;57.60;78.69
0.00;0.00;0.00;18.00;0.00;79.85
0.00;0.00;0.00;18.00;3.60;80.85
0.00;0.00;0.00;18.00;7.20;80.54
0.00;0.00;0.00;18.00;10.80;81.46
0.00;0.00;0.00;18.00;14.40;82.23
0.00;0.00;0.00;18.00;18.00;82.23
0.00;0.00;0.00;18.00;21.60;82.85
0.00;0.00;0.00;18.00;25.20;82.92
0.00;0.00;0.00;18.00;28.80;83.08
0.00;0.00;0.00;18.00;32.40;82.62
0.00;0.00;0.00;18.00;36.00;83.08
0.00;0.00;0.00;18.00;39.60;82.77
0.00;0.00;0.00;18.00;43.20;82.38
